BAM,SAM,k=4,k=8,k=16,k=32,k=64,k=128,k=256,k=512,k=1024,k=2048,k=half,k=log,k=sqrt,data_size
4.552e-06,6.845e-06,6.02e-06,6.074e-06,5.96e-06,5.787e-06,5.879e-06,6.023e-06,5.903e-06,6.043e-06,6.103e-06,5.909e-06,8.869e-05,5.8338e-05,0.000100494,2
4.364e-06,6.913e-06,6.067e-06,6.078e-06,5.918e-06,5.757e-06,5.865e-06,5.834e-06,6.058e-06,5.951e-06,5.911e-06,5.679e-06,5.99e-05,5.7842e-05,5.7423e-05,2
4.613e-06,8.043e-06,6.275e-06,7.365e-06,2.112e-05,1.0789e-05,8.128e-06,7.715e-06,6.774e-06,7.133e-06,6.287e-06,5.948e-06,6.0858e-05,6.0323e-05,6.119e-05,2
4.771e-06,7.181e-06,6.931e-06,6.51e-06,6.235e-06,6.1e-06,6.182e-06,6.273e-06,6.106e-06,8.173e-06,6.616e-06,7.986e-06,7.942e-05,0.000307485,7.8466e-05,2
4.615e-06,6.862e-06,5.998e-06,6.066e-06,5.987e-06,5.83e-06,5.935e-06,5.988e-06,5.866e-06,5.956e-06,5.984e-06,5.788e-06,8.2747e-05,9.2352e-05,7.5656e-05,2
5.099e-06,7.004e-06,6.241e-06,6.229e-06,6.041e-06,5.813e-06,6.101e-06,6.051e-06,5.925e-06,6.101e-06,6.066e-06,6.424e-06,0.000317542,7.6466e-05,7.5621e-05,2
4.398e-06,7.038e-06,6.248e-06,6.168e-06,6.02e-06,6.21e-06,6.19e-06,6.195e-06,5.922e-06,6.043e-06,6e-06,5.802e-06,7.1915e-05,5.7145e-05,7.108e-05,2
4.42e-06,7.015e-06,6.235e-06,6.307e-06,6.229e-06,6.079e-06,6.364e-06,6.36e-06,6.106e-06,6.186e-06,6.238e-06,2.0759e-05,5.7497e-05,7.1316e-05,0.000289869,2
4.479e-06,7.196e-06,6.231e-06,2.8004e-05,6.168e-06,5.76e-06,5.933e-06,6.028e-06,5.972e-06,6.083e-06,6.161e-06,5.804e-06,0.000111817,5.8347e-05,0.000234208,2
4.444e-06,6.992e-06,6.446e-06,6.611e-06,6.377e-06,6.273e-06,6.362e-06,6.39e-06,6.239e-06,6.43e-06,6.367e-06,6.015e-06,7.3026e-05,7.2598e-05,7.9947e-05,2
2.7117e-05,0.000213138,1.8601e-05,1.5865e-05,1.7126e-05,1.6565e-05,1.7425e-05,1.4325e-05,1.4051e-05,1.8544e-05,1.4779e-05,2.0726e-05,0.000129073,0.000151401,0.000148221,4
1.105e-05,0.000110792,1.4239e-05,1.377e-05,1.3516e-05,1.3487e-05,1.3455e-05,1.3526e-05,1.3469e-05,1.3877e-05,4.2335e-05,1.3565e-05,0.000134372,0.000154975,0.000155252,4
1.0946e-05,0.000123173,1.4622e-05,1.4145e-05,1.3958e-05,1.3951e-05,3.2549e-05,1.6726e-05,1.449e-05,1.4063e-05,3.1823e-05,1.6309e-05,0.000159119,0.000349028,0.000147947,4
1.063e-05,0.000123048,1.4115e-05,1.4081e-05,1.3704e-05,1.358e-05,1.3556e-05,1.3621e-05,1.3532e-05,1.3539e-05,2.6662e-05,1.3595e-05,0.000134998,0.000114522,0.000133734,4
2.7255e-05,0.000418459,3.3546e-05,1.4883e-05,1.4099e-05,1.4615e-05,1.441e-05,0.000163852,1.4405e-05,1.458e-05,4.6076e-05,1.4279e-05,0.000258823,0.00010375,0.000274318,4
1.0829e-05,0.000144869,1.4281e-05,1.3758e-05,1.3475e-05,1.3502e-05,2.6639e-05,1.3521e-05,1.339e-05,1.4289e-05,1.3549e-05,1.3493e-05,0.000116261,0.000134105,0.000131833,4
1.092e-05,0.000122932,1.4581e-05,1.4136e-05,1.4127e-05,1.3906e-05,1.401e-05,1.3952e-05,1.3792e-05,1.3881e-05,1.3871e-05,1.3866e-05,0.000219174,0.000156305,0.000137023,4
1.0998e-05,0.000167656,2.3618e-05,1.5867e-05,1.3609e-05,2.9944e-05,1.3615e-05,2.7335e-05,1.3507e-05,1.3925e-05,1.4078e-05,1.4585e-05,0.000329798,0.000126175,0.000140224,4
1.1142e-05,0.000131578,1.4689e-05,4.8852e-05,2.9859e-05,1.3654e-05,1.3463e-05,3.2863e-05,1.3947e-05,1.391e-05,3.4105e-05,1.4351e-05,0.000158081,0.000139021,0.000106406,4
1.0779e-05,0.000199028,1.3963e-05,1.3975e-05,1.358e-05,1.3483e-05,1.3409e-05,1.3549e-05,1.3517e-05,1.3089e-05,1.3035e-05,1.3063e-05,0.000100871,0.000177581,9.9461e-05,4
